Name;Coded Text
Accept and Confirm;Yeah, right. Right
Accept and Confirm;Yeah, that makes sense
Accept and Confirm;Yeah, that's right.
Accept and Confirm;Yeah, yeah
Accept and Confirm;Yeah.
Accept and Confirm;Yeah.
Accept and Confirm;Yeah. 
Accept and Confirm;Yeah.
Accept and Confirm;You're right, so let's write it
Acknowledge;A queue of cars, right
Acknowledge;Alright
Acknowledge;Alright.
Acknowledge;Alright. Okay
Acknowledge;Alright.1
Acknowledge;cop, we'd have kind of a cop object that youcould manipulate certain rule sets. Or is that implicit in[inaudible
Acknowledge;I believe we can.
Acknowledge;it has a tick and the tick method really then says I thinkwe're going to time this happened, I'm going to go check my[inaudible] and I'm going to kick off, so its like we're sayingthat this is a traverser.
Acknowledge;It seems like it
Acknowledge;It's almost like the intersection has a state
Acknowledge;It's distributed, okay.
Acknowledge;My first inclination is to say, okay the rules if rules can getpushed into the objects and then tick maybe into the--distribute the rules into the network and then at every tickeach aspect, each car gets a tick, each intersection gets atick, each road gets a tick.
Acknowledge;No
Acknowledge;Oh, right
Acknowledge;Okay
Acknowledge;Okay 
Acknowledge;Okay
Acknowledge;okay
Acknowledge;Okay
Acknowledge;Okay
Acknowledge;Okay
Acknowledge;Okay
Acknowledge;Okay 
Acknowledge;Okay
Acknowledge;Okay
Acknowledge;Okay
Acknowledge;Okay
Acknowledge;Okay
Acknowledge;Okay
Acknowledge;Okay
Acknowledge;Okay
Acknowledge;Okay
Acknowledge;Okay so 
Acknowledge;Okay,
Acknowledge;Okay, alright
Acknowledge;Okay, I like that.
Acknowledge;Okay, yeah.
Acknowledge;Okay.
Acknowledge;Okay.
Acknowledge;Okay.
Acknowledge;random number generator is controlling push. Andthat happens for every tick.
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right 
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right
Acknowledge;Right,
Acknowledge;Right,
Acknowledge;Right, and then figure out
Acknowledge;Right, right
Acknowledge;Right, yeah
Acknowledge;Right.
Acknowledge;Right.
Acknowledge;Right.
Acknowledge;Right.
Acknowledge;Right.
Acknowledge;Right.
Acknowledge;Right. Exactly.
Acknowledge;Right. Okay
Acknowledge;so maybe this is public and this is private in the sensethat you only ever have roads in the network when it's at theintersections because I don't think, I'm trying to
Acknowledge;So they can build on.
Acknowledge;So, controller -ê okay
Acknowledge;Sure. Sure, so let's establish
Acknowledge;That's right.
Acknowledge;That's true.
Acknowledge;There might be an implicitstep in the network to say to keep the network modelconstraints by introducing an intersection if it needs to at ajunction
Acknowledge;Well that's a good point, though, 
Acknowledge;Well, that could be, maybe the cop -
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah 
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah
Acknowledge;Yeah and also
Acknowledge;Yeah okay
Acknowledge;Yeah sure
Acknowledge;Yeah there could be two
Acknowledge;Yeah, 
Acknowledge;Yeah,
Acknowledge;Yeah,
Acknowledge;Yeah,
Acknowledge;Yeah,
Acknowledge;Yeah,
Acknowledge;Yeah,
Acknowledge;Yeah,
Acknowledge;Yeah,
Acknowledge;Yeah,
Acknowledge;Yeah, exactly. 
Acknowledge;Yeah, it's a little messy
Acknowledge;Yeah, it's a lot of rules, right.
Acknowledge;Yeah, right, right
Acknowledge;Yeah, right. Right
Acknowledge;Yeah, that makes sense
Acknowledge;Yeah, that's right.
Acknowledge;Yeah, yeah
Acknowledge;Yeah.
Acknowledge;Yeah. 
Acknowledge;Yeah.
Acknowledge;Yeah.
Acknowledge;You're right, so let's write it
Agree;I think you're right saying the light knows the state of is therea car there
Agree;That's true. 
Appreciation;Well that's a good point, though, 
Argue; but it's not necessarily realistic
Argue; But the light would then have to 
Argue; But then there's 
Argue; But you know 
Argue; I don't know 
Argue; I don't know how to actually structure this
Argue; if we control whether certain intersections evenallow a [inaudible
Argue; it should bepossible to create a busy road or a seldom used one, or any 0variation in between.
Argue; Okay so it says that's up to us
Argue; Or, at leastde
Argue; so dowe want to have visualization of cars moving along aparticular road in a geometric sense? 
Argue; so now the push is not just the random numbergenerator for frequency, but there's also random numbergenerator for zero one for left versus right
Argue; wonder if atfirst approximation never [inaudible] in roads. 
Argue;, but whatabout the--how 
Argue;. So add road could potentially have, what's theplace you could ever, you did this.
Argue;. Which would be a horizontalflow or a vertical flow
Argue;and have uml diagram for the class structureof each object's attributes
Argue;And I wonder
Argue;aroad is an interior or we should call it an onramp
Argue;but 
Argue;But
Argue;but also it'sanalytic data saying okay you're still in this queue
Argue;but beginning when youjust 
Argue;But I imagine the controller controls that, right, the modelbasically is just the basically cars, the queue of cars, theintersection contains four queues.
Argue;But I think that would become a bit spaghetti 
Argue;But if you 
Argue;but let's leave observe 
Argue;But not necessarilyall red.
Argue;but only if 
Argue;But roads
Argue;but should readily accommodate six intersections--okayso we can actually accommodate [inaudible] larger
Argue;but that, but this simulation 
Argue;But the push is really 
Argue;but then let's
Argue;but then there's horizontal-êleft,vertical-êleft.
Argue;but then we can 
Argue;but we've 
Argue;But what 
Argue;Butthen
Argue;butwhat's--I'd imagine 
Argue;cop, we'd have kind of a cop object that youcould manipulate certain rule sets. Or is that implicit in[inaudible
Argue;create a road there's no intersection, so road existsoutside of the intersection
Argue;Do you want to keep it or do you want to do two queues.
Argue;I don't know
Argue;I don't know if this isany better
Argue;I mean I'm wondering could youadd
Argue;I suppose if you just had a list of intersections it goesrandomly too 
Argue;I think you're right saying the light knows the state of is therea car there
Argue;I wonder if 
Argue;If it's a single lane of traffic, could those left-êturners andstraight-êthrough-êers be queued up in the same queue
Argue;If that state is this, then the otherstates are going to be
Argue;If the car at thehead of, well the entrance. I guess
Argue;if there's a protected left turn thenthese need to be broken up almost.
Argue;if they have an intersection here and here
Argue;if this is ourcanvass and that's an onramp and that's an off ramp, youhave a special edge intersection
Argue;if this road fills up, then even if this is green,this car won't be able to pass
Argue;if we ever really neededthis 
Argue;If we had some sort of--our network can be representedwith a geometry that's in kind of the window so you canscroll around
Argue;if we haveintersection then they know about them
Argue;if we make the capacity of the geometry and youcould sort of simulate a highway or something
Argue;If we want to
Argue;if we want to get more sophisticated wecould have sensor logic taking sensor for each in-êroad so thatif say these two are empty then these two just stay greenforever
Argue;if we were playing the roles ofarchitect, how to communicate it to--so we
Argue;if you could rearrange the networks to get thatslope, you would have
Argue;if you double click you can controlthe frequency of the car creation on that road
Argue;if you gothrough that's fine and then through that's fine.
Argue;If you have multiple lanesthen you could say the left one is always turning left
Argue;if you look at a road. It has a queue, right
Argue;if you say you have to start with anonramp 
Argue;if you're thinking graphically, if this iscapacity and wait time, the capacity is going to be graphedsomething like that
Argue;if you're visiting anintersection and a road you don't have to be those thingsthere, all that logic is pretty clear there
Argue;if youwant to take control, I'd have you say 
Argue;Ifyou want to make it longer or shorter
Argue;I'm notquite sure 
Argue;is the cop really a model or is that acontroller
Argue;Is this all this sort of master control orwhatever? Or should that go into where you push rulesdown to
Argue;It depends if there's two lanes or not.
Argue;It has a tick, tick, tick, or are we saying that alltick logic methods have a combo
Argue;it might be, or another alternative
Argue;It would have multiple lanes so thatin a sense it has multiple queues
Argue;It's almost as if you need to always start with an onramp sothat
Argue;it's not full it would be allowed to
Argue;just wonder if maybe the important 
Argue;let's supposeto you do here to here onramp, off ramp. And so this pointnow we can get an interior, now we've got an interior.
Argue;let'ssuppose we make it so every ten ticks the lights change.Well, it might be that every five ticks, the sensor is triggered,or something like that.
Argue;Like so that you've got this intersection next to thisintersection and if this road fills up, then even 
Argue;Maybe ifyou select a car, I mean a road, it allows you to edit
Argue;now I'm wondering like the rule for changing the lights,we established a rule saying the light, are we going to saylight would change to green, or will only stay red for xamount of time, or is it reversed
Argue;Numerical decision data. Averagewait time, three hours. And I wonder if we want to allowuser control of a clock in the sense that relating the notion ofthis tick time to real time. 
Argue;okayone tick so from two to one, we go to zero 
Argue;One car or two
Argue;Or a left protection
Argue;Or analyzing the average wait time of a given car, right
Argue;Or are all the opposing lanesalways the same state
Argue;or are we lettingthe video camera capture that description
Argue;Or if 
Argue;or if we 
Argue;Or is this inside of a UI 
Argue;or we could even have 
Argue;or yeah I guess speed of cars, rate of incoming cars onthe onramp
Argue;Or you could say
Argue;Or you could start from the outside in and say, well for everyunbounded road,
Argue;Or you've got 
Argue;Or, I want to run it on--run a simulation for some amount oftime and evaluate the network
Argue;Or, wait. Well that's [inaudible] one cargoes per tick.
Argue;property of the queue or a property of thecar
Argue;Right so this is now a UI piece and the dot, brings up youreditor with frequency of, your frequency value
Argue;say if this is the head. Sothe speed controls, like for every tick how many spaces a carcan move
Argue;so
Argue;So all these lines of 
Argue;so clock is a controller
Argue;So do you want 
Argue;So for every tick, the analytics guy does asweep, collecting statistical data about the state of each tick
Argue;So foreach road in the simulation we look at the car at the head ofthe queue
Argue;so get rid of this 
Argue;So highlight 
Argue;So I 
Argue;so I can see traffic flow across it.
Argue;So I think that might bethe best way to communicate interaction design.
Argue;So I think that's 
Argue;So I was thinking 
Argue;So if the 
Argue;So I'll use a soliddot to mean ownership and then an open dot to meanreferencing. So the network owns the roads, the networkowns the intersections but the intersection can referencethese in and out roads. Alright, so I guess we need, addroad
Argue;So I'm thinking maybe
Argue;so instead of just a straight 
Argue;so is there someone looking at the networksaying the average congestion is, or the average wait time ofa car is,
Argue;So it might be thatthe road has some number of, an ordered list of cars that aremoving along the road and only when they get to the end ofthe road do they get pushed into the queue. 
Argue;So it should 
Argue;So it's a visit
Argue;So it's got to be just a grid likethat. That's fine.
Argue;So it's like8you're inferring intersection at crossings.
Argue;So it's saying at each tick we see where the problems occurand maybe make a road blink red if it's full and
Argue;So I've got two car lengths 
Argue;So let's 
Argue;so let's suppose T onerepresent a delta 
Argue;so max cars, holds n.1
Argue;So maybe 
Argue;So maybe it'sreally a function of the result of how the intersections arelaid out. And the relationship between the intersection. 8
Argue;so maybe this is public and this is private in the sensethat you only ever have roads in the network when it's at theintersections because I don't think, I'm trying to
Argue;so maybe we 
Argue;So mostly straight and sometimes 
Argue;so next userstory 
Argue;so that comes back toanalytics right?
Argue;So that kind of comes into car
Argue;so that thisintersection is connected to this one, or is that
Argue;So that would 
Argue;So that you 
Argue;So that's just the function or the property on thelight
Argue;so that's one thing, and also like how longthese signals stay green
Argue;So that's the basic way to kick it all off I guess
Argue;so the cop as, 
Argue;So the empty network is what we started outwith a blank page, as they drag a road on, that instantiates aroad object
Argue;So the only other way youcan get through
Argue;so the pop 
Argue;So the random number 
Argue;So then you drag 
Argue;So then, so suppose, so we're going to have thecars done in one tic right.
Argue;So therandom 
Argue;so there needs to be some logic about, wellthat's interesting so there's a notion of the road in, road out.
Argue;So there's through here, off ramp and onramp right
Argue;So this is interesting, so now should allow for roads of anylength to be placed
Argue;So this network or graph hasadditional constraints.
Argue;So this one piece of state we haven't captured is whether aroad is an interior or we should call it an onramp
Argue;So this whole thing we should talk about road, got this modelcontrol or 
Argue;So we 
Argue;So we almost don't need a--well, we need car to havesomething in the queue
Argue;so we could come 
Argue;So we makeroads, right. So one m of intersections and we would haveroad connected to the intersection or the intersection has2paths
Argue;So we makeroads, right. So one m of intersections and we would haveroad connected to the intersection or the intersection has2paths
Argue;so we need to communicate the interaction
Argue;So we want to, you know, does thishappen basically.
Argue;So wecould introduce a notion of speed into our queue
Argue;so we're 
Argue;So we're getting some credit collection of rules here
Argue;so we've created a basic [inaudible] for it to run in.
Argue;So we've got a great 
Argue;So when it comes 
Argue;So where you 
Argue;So you can't 
Argue;so you click an 
Argue;so you have a consistent road network.
Argue;So you have to explain
Argue;so you want the 
Argue;So youcould simplify 
Argue;So you're 
Argue;So you're just doing it 
Argue;So, go ahead
Argue;So, let's suppose we start with, say this picture is T zero.What would, okay so they can't, let's suppose for a momentthat T zero has all the lights about to change, so in the sensethat wherever I just point in time nothing's moving and we'reshowing x point in time where something has moved sort ofbefore and after state.
Argue;So, something happens as an external controller is ticking themodel
Argue;Sodoes it have a sensor, yes, no
Argue;somenumber of--so it has, think of this as kilometers, or carlengths. 
Argue;Sothat we 
Argue;sothis can be bigger than the window so scrolling, stuff likethat
Argue;Suppose you have even a simulationobject, it has a clock and a network and here's the clock andit tells the clock time
Argue;thatif a car went from here--so what we'd see right now in ourvisualization is that in queue we see it pop to the front of thequeue
Argue;That's true. 
Argue;then this guy would have a state. It's like okay I'vebeen in this state for two ticks, go to three don't change, goto four change, something like that. Right, so this guy has anotion of the state of the light but also time and currentstate, right. So, the clock ticks, the cop says look at whatlights are green, one tick means one car goes through so wepop off the end of the queue, we say the cop notices the endof the intersection has been in this state for one tick so nochange needs to be made. And then we get the same greenstate
Argue;There might be an implicitstep in the network to say to keep the network modelconstraints by introducing an intersection if it needs to at ajunction
Argue;there's rules governing if you have two carsgoing into the same road, which goes first per tick, 
Argue;this road is geometrically shorter, then thisessentially is saying all roads are the same length
Argue;This way, or that way
Argue;Ticks per minute, orsecond. Okay
Argue;We could do it that way. Either that or we could make roadsdominant and then intersections really just a thing thathappens at road crossings.
Argue;Well, I don't know
Argue;We're prettyconstrained in what we draw geometrically so it almostseems like it might be nice to [inaudible] the geometry fromthe simulation
Argue;We've kind of done it here, butit's kind of messy
Argue;when I hit theplay button, it kicks the ticks going and now we have all ofour random number generators feeding cars into thenetwork
Argue;you have an analyticspiece looking in and assessing questions like
Argue;you're trying to do the yield, you know trying tosimulate the yield rule, right
Assumption; And we have a green light. Not aleft-êgreen
Assumption; is really a random, saya random event in the sense that every tick he rolled a diceas to how many cars can queue up.
Assumption; So car equals left and I.light equalsyellow or .light equals left,
Assumption; visit intersection andthere's a visit called road, car, and then that, that's how wecode the logic. 
Assumption;A cop is kind of controlling the state of the model
Assumption;also don't need to push on herebecause the--this, you don't need to randomly push on herebecause all the cars coming in this queue are going to becoming from this road. Either from here, or from there.
Assumption;Analytic dataon an intersection saying how many cars are you pushingthrough on average.
Assumption;And as well as the signal
Assumption;And different logic on en-êqueuing or de-êqueuing. Or, at leastde-êqueuing for depending on do you have a left-êturner at thehead of your queue and do your lights stay left
Assumption;And it also corresponds to time
Assumption;And that becomes a little more complicated right,once you have more roads
Assumption;And the logic here is that maybe the cop figure is thisGod-êlike thing that creates cars and queues them too andthat would go
Assumption;And then depending on 3what type of car, you queue it up on the lane.
Assumption;and then it's really the cop to say, okay 
Assumption;And then that dictates, so it's like--suppose we have a horizontal, horizontal versus vertical andit says the intersection is traveling horizontally now, tick ticktick boom it's traveling vertically now
Assumption;And then we need an F. a frequency value for theroad
Assumption;And thennetwork was responsible for pairing up those intersections.
Assumption;Andthis intersection says basically as we're determining whetherto pop, we have to ask this intersection is it okay to, if there'san intersection here is it okay to push on there before wepop here.
Assumption;Because the popping logic, you can't pop ifthe other road is full
Assumption;been saying that's just the default, wehaven't talked about specific types of observation.
Assumption;beginner phase of the model, right, andinto the receiver, or we could even have it take on a model,right.
Assumption;Beginning a queue on yellow lights. So more logic in thestates
Assumption;car lengths and queue has amaximum of n. And then as we're bumping the value ofdistance travelled, it needs to be sensitive to who's in frontof it. You can never exceed distance traveled of the personin front of you in the queue.
Assumption;cars into this road can come from here goingstraight, here turning left, or here turning right.
Assumption;create a road there's no intersection, so road existsoutside of the intersection
Assumption;Did we have a constraint of only four roads per intersection?
Assumption;Directional -- okay. I'm thinking this is a queue, this is aqueue, this a queue.
Assumption;evaluation should be, should we say areable to evaluate per intersection or per
Assumption;feel like the rate at which the cars are 
Assumption;For that guy comingon this onramp, how does he get through the sim whetherhe can make straight road, you know straight-êthru's, you goleft and/or right or maybe a frequency, some distribution.So mostly straight and sometimes right.
Assumption;Have some tick then sendssome then sends tick event to model.
Assumption;Head of road. Road. Head of RSAper road. And if that, if the car equals straight
Assumption;If it's a single lane of traffic, could those left-êturners andstraight-êthrough-êers be queued up in the same queue
Assumption;If the car at thehead of, well the entrance. I guess
Assumption;if this is ourcanvass and that's an onramp and that's an off ramp, youhave a special edge intersection
Assumption;if we make the capacity of the geometry and youcould sort of simulate a highway or something
Assumption;if you gothrough that's fine and then through that's fine.
Assumption;If you have multiple lanesthen you could say the left one is always turning left
Assumption;if you're thinking graphically, if this iscapacity and wait time, the capacity is going to be graphedsomething like that
Assumption;if you're visiting anintersection and a road you don't have to be those thingsthere, all that logic is pretty 
Assumption;It depends if there's two lanes or not.
Assumption;it has a tick and the tick method really then says I thinkwe're going to time this happened, I'm going to go check my[inaudible] and I'm going to kick off, so its like we're sayingthat this is a traverser.
Assumption;It would have multiple lanes so thatin a sense it has multiple queues
Assumption;It's a simplifying assumption
Assumption;It's almost as if when we--basically per tick we haveto go through each intersection in some defined order too,
Assumption;it's almost like you just step up a level and have anobject called a network and that's the thing that assemblesintersection out of roads and knows whether its an exteriorroad or an interior road and all that
Assumption;it's an interior road if anotherroad--because this says you're going in here and out here sois this--is an interior road just one queue or in general 
Assumption;it'sreally a function of the result of how the intersections arelaid out. And the relationship between the intersection. 8
Assumption;Let's say I'm not interested in all the roadsof an intersection, just that particular road
Assumption;let's supposeto you do here to here onramp, off ramp. And so this pointnow we can get an interior, now we've got an interior.
Assumption;light, it'sreally almost green, then we have r.pop, 
Assumption;maybe that's sort of an object-êoriented way. The roadkeeps up its own cars in the sense that
Assumption;Maybe this is this card, this push notion right now and just ahand wave and have it happening in a global sense
Assumption;Maybe we randomize the--at a pop and push. Wealso then randomize the actual direction of the car.
Assumption;My first inclination is to say, okay the rules if rules can getpushed into the objects and then tick maybe into the--distribute the rules into the network and then at every tickeach aspect, each car gets a tick, each intersection gets atick, each road gets a tick.
Assumption;okay so this is road,and so it has a queue, and an abstraction with a push, pop
Assumption;Once again, it's per tick right
Assumption;One car per tic.
Assumption;One car per tick passes if ahead of 4the--I guess there's a couple cases 
Assumption;Only for the onramp roads
Assumption;or left versusstraight in our case
Assumption;Or, wait. Well that's [inaudible] one cargoes per tick.
Assumption;Say some number of cars per minute while the lights green.
Assumption;Should we define an initial simple intersection, an initialsimple car
Assumption;similar to we had analytic data on intersections. Imean, its kind of an annotation network
Assumption;so clock is a controller
Assumption;So for every tick, the analytics guy does asweep, collecting statistical data about the state of each tick
Assumption;So I want to start and observe a simulation.
Assumption;so intersection then we need car, we need the notionof time, this is a simulation of time
Assumption;So length, in some ways, for ourpurposes, is just the number of cars that it will hold
Assumption;so let's suppose T onerepresent a delta of say four units in time, so four clock ticks,and we say one car per clock tick can pass or something
Assumption;So maybe a drawing of a, the simplest intersection, right, andan intersection, and have a particular road would have -ê it'sdirectional on either side, right. There are some number ofcars flowing on a particular road waiting at an intersection.There is a clock, right, that governs when the lights change.So, there are lights, right. This goes across the street rightthere.
Assumption;so some sort of analytic data gets collected onunder a car per cycle through.
Assumption;So that means car, cuz that's green, car and the, so how dowe 
Assumption;So the frequency F here is not a global to the network, it's asetting on a particular onramp road.
Assumption;So the intersectionhas light gating a pair of roads, light gating another pair ofroads. There's the light, I guess per pair of roads.
Assumption;So then, so suppose, so we're going to have thecars done in one tic right.
Assumption;So this guy goes away.4
Assumption;so this is like the network and the network has, maintainsthis graph of nodes and edges. Where a node is anintersection and an edge is a road but we now have overcomplicated things 
Assumption;so this random number generator affectsnew--the next direction of the cars that come in from theoutside
Assumption;So thisall, is this all cop
Assumption;So we could justarbitrarily define that it takes two seconds off the wait timeor something
Assumption;So we have to have some sort of timer model that 
Assumption;So wecould introduce a notion of speed into our queue
Assumption;so what I'm thinking is maybe there's arandom number generator here that has two inputs of likebasically the probability, right
Assumption;So what we're saying isthere's a distinction--what you're saying is there's adistinction between an interior road and then the places thatthe random--the places that the random number generatorfeeds them in.
Assumption;So zero to one, which is afrequency number
Assumption;So, let's suppose we start with, say this picture is T zero.What would, okay so they can't, let's suppose for a momentthat T zero has all the lights about to change, so in the sensethat wherever I just point in time nothing's moving and we'reshowing x point in time where something has moved sort ofbefore and after state.
Assumption;Some number of roads, be it in, out, horizontal andin, out vertical. 
Assumption;Somehow we need to represent the amount of trafficor traffic flow
Assumption;Sothe driver's been in this car for ten minutes going nowhere.
Assumption;speed of the car
Assumption;start with a model and start with the simplestmodel to get the simplest intersection flowing with cars andtiming.
Assumption;Suppose you have even a simulationobject, it has a clock and a network and here's the clock andit tells the clock time
Assumption;That kicks off events and then which then make a [inaudible
Assumption;That kicks off events.
Assumption;that's an interesting question, how do we traverse thegraph
Assumption;That's another thing is lanes, right? Lanes...
Assumption;That's theonly way you could pop in the at case, right?
Assumption;thatthe road has some number of, an 
Assumption;the average wait time for an averagecar going through our city streets
Assumption;The edge, there can only be two edges betweenintersections and they're oriented oppositely, you can't havetwo intersections going out
Assumption;the lane would be an addition of the road with somespecific logic data.
Assumption;The random number generator could try to pump a new carin 
Assumption;The sim right, it's almost like, I like cop. Let's just say copwith that controls the light too.
Assumption;then depending on therandom number generator, each tick is random whether youpush a car or not
Assumption;then does that mean like onthe intersection then, so you've got an intersection objectwhich basically has four pointers to other intersection,possible intersections
Assumption;then you can only move maybe the actual road, like youcan't move the intersection
Assumption;then you increment the distance traveled from front toback of the queue
Assumption;thepopping might be a little complicated as you start buildingthese next to each other.
Assumption;There might be an implicitstep in the network to say to keep the network modelconstraints by introducing an intersection if it needs to at ajunction
Assumption;There's a, you can copy left-êhand turns protected bygreen arrow lights 
Assumption;there's no pop after a certain number of ticks orsomething like that on any given road
Assumption;this intersection into thisqueue it goes in here and the next tick, as long as there areno cars in front of it, it will go maybe two spaces orsomething. Okay. So there's a notion of just a regular queueand there's a notion of slots in a queue
Assumption;This is a queue and what we're reallyinterested in is how those cars queue up, how big the queuesget, when the queues release and how many we can pop-êupthe end of the queue for some given clock tick. Then we cankeep speed constant for 
Assumption;this road is geometrically shorter, then thisessentially is saying all roads are the same length
Assumption;tick if, let's say for each road in the simulation
Assumption;Traffic light sensors, traffic light timing,
Assumption;Two queues: one going straight, one going left.
Assumption;want the wait time to go flat with increasingcapacity.
Assumption;We could do it that way. Either that or we could make roadsdominant and then intersections really just a thing thathappens at road crossings.
Assumption;We have some constraints on the flow of the queuesbecause we can't have lights coming in a collision course.
Assumption;We need something that represents intersections.
Assumption;well in our world there's always atleast two lanes and the left lane is always the left laneturning. For this situation
Assumption;Well then wouldn't that be then still have two types of carbut
Assumption;wepegged the random number generators to be flowing at acertain grade. 
Assumption;We're prettyconstrained in what we draw geometrically so it almostseems like it might be nice to [inaudible] the geometry fromthe simulation
Assumption;we're saying that's kind of likethe network, or the graph traverse all. So, network cop goesthrough a grid or logic has to traverse this thing in a way thatpeople could use it.
Assumption;we've said that roads are basically queue's sowhat 
Assumption;When it went through, it would pop to the front ofthe queue in the next intersection
Assumption;would that be a property of the car onthe current wait time or something like that
Assumption;Yeah, yeah just need, well one probably also needs an admin 
Assumption;you couldhave like a, well we have for interior road we have amaximum number of slots, 
